property_id,tenant_id,invoice_number,invoice_date,due_date,amount,status,description
PROP-001,TEN-1001,INV-2301001,2023-01-01,2023-01-15,5000.00,Paid,Base Rent Jan
PROP-001,TEN-1001,INV-2302001,2023-02-01,2023-02-15,5000.00,Overdue,Base Rent Feb
PROP-001,TEN-1002,INV-2303001,2023-03-01,2023-03-15,4200.00,Paid,Base Rent Mar
PROP-002,TEN-1005,INV-2212001,2022-12-05,2022-12-20,3800.00,Paid,Base Rent Dec
PROP-002,TEN-1006,INV-2301002,2023-01-05,2023-01-20,3200.00,Paid,Base Rent Jan
PROP-003,TEN-1010,INV-2302002,2023-02-01,2023-02-15,4500.00,Paid,Base Rent Feb
PROP-003,TEN-1011,INV-2303002,2023-03-01,2023-03-15,5100.00,Overdue,Base Rent Mar
PROP-004,TEN-1015,INV-2304001,2023-04-01,2023-04-15,3900.00,Paid,Base Rent Apr
PROP-004,TEN-1016,INV-2305001,2023-05-01,2023-05-15,4100.00,Paid,Base Rent May
PROP-005,TEN-1020,INV-2306001,2023-06-01,2023-06-15,4800.00,Paid,Base Rent Jun
PROP-005,TEN-1021,INV-2307001,2023-07-01,2023-07-15,4400.00,Overdue,Base Rent Jul
PROP-001,,INV-2304002,2023-04-01,2023-04-15,3600.00,Paid,Base Rent Apr
PROP-002,TEN-1007,INV-2302003,2023-02-05,2023-02-20,3400.00,Paid,Base Rent Feb
PROP-003,TEN-1012,INV-2304003,2023-04-10,2023-04-25,4300.00,Paid,Base Rent Apr
PROP-004,TEN-1017,INV-2306002,2023-06-01,2023-06-15,4000.00,Paid,Base Rent Jun